claim_id,customer_id,claim_amount,repair_estimate,claim_type,location,previous_claims,days_since_last_claim,description,fraud_reported
C1000,U2000,126958,54005,Motor,Mumbai,1,100,Broken window due to hailstorm,0
C1001,U2001,151867,180648,Motor,Nagpur,0,5,Basement flooded due to rainfall,0
C1002,U2002,136932,42353,Motor,Delhi,2,179,Phone stolen during travel,0
C1003,U2003,108694,196075,Motor,Hyderabad,0,281,Fracture treatment expenses,0
C1004,U2004,124879,217283,Health,Delhi,4,319,"Severe collision, engine damaged",0
C1005,U2005,115268,55733,Motor,Hyderabad,5,225,Fracture treatment expenses,0
C1006,U2006,59886,68318,Property,Pune,3,314,Fracture treatment expenses,0
C1007,U2007,142337,244025,Property,Hyderabad,0,364,Lost property claim repeated,0
C1008,U2008,173266,223546,Motor,Nagpur,4,228,Lost property claim repeated,0
C1009,U2009,92498,157736,Property,Mumbai,4,376,"Severe collision, engine damaged",0
C1010,U2010,117727,70172,Motor,Hyderabad,5,288,Fracture treatment expenses,0
C1011,U2011,131324,219688,Motor,Hyderabad,2,149,Phone stolen during travel,0
C1012,U2012,180203,96264,Property,Mumbai,4,276,Basement flooded due to rainfall,0
C1013,U2013,196335,249458,Motor,Nagpur,4,197,"Severe collision, engine damaged",0
C1014,U2014,21023,29736,Property,Delhi,4,69,Broken window due to hailstorm,0
C1015,U2015,46090,228281,Health,Hyderabad,4,111,Fracture treatment expenses,0
C1016,U2016,72221,237113,Motor,Mumbai,1,3,"Severe collision, engine damaged",0
C1017,U2017,69820,115859,Health,Pune,1,349,"Minor accident, bumper scratch",0
C1018,U2018,5769,115181,Property,Mumbai,2,330,"Minor accident, bumper scratch",0
C1019,U2019,64735,134926,Health,Pune,0,317,Lost property claim repeated,1
C1020,U2020,199027,93084,Health,Nagpur,4,349,Basement flooded due to rainfall,0
C1021,U2021,69925,172695,Property,Delhi,5,94,Phone stolen during travel,0
C1022,U2022,10311,10392,Health,Mumbai,0,151,Basement flooded due to rainfall,0
C1023,U2023,108355,58680,Health,Hyderabad,5,310,Basement flooded due to rainfall,1
C1024,U2024,189779,180789,Property,Nagpur,0,136,Basement flooded due to rainfall,0
C1025,U2025,90305,221164,Health,Mumbai,2,246,Basement flooded due to rainfall,0
C1026,U2026,164765,53859,Property,Hyderabad,4,386,Broken window due to hailstorm,0
C1027,U2027,135608,128657,Health,Mumbai,4,242,Broken window due to hailstorm,0
C1028,U2028,161730,238167,Property,Pune,3,30,Lost property claim repeated,0
C1029,U2029,89478,160381,Property,Mumbai,5,39,"Severe collision, engine damaged",0
C1030,U2030,127537,221527,Health,Mumbai,0,228,"Minor accident, bumper scratch",0
C1031,U2031,154503,197806,Health,Mumbai,0,35,Basement flooded due to rainfall,0
C1032,U2032,135523,73467,Health,Nagpur,1,222,Lost property claim repeated,0
C1033,U2033,7747,186734,Motor,Mumbai,3,5,"Severe collision, engine damaged",0
C1034,U2034,128855,101506,Motor,Hyderabad,1,321,"Minor accident, bumper scratch",0
C1035,U2035,195222,112751,Motor,Pune,1,219,Fracture treatment expenses,0
C1036,U2036,70725,121906,Property,Pune,1,74,Phone stolen during travel,0
C1037,U2037,134981,146760,Health,Mumbai,5,3,Broken window due to hailstorm,0
C1038,U2038,89654,28342,Property,Nagpur,5,334,Fracture treatment expenses,0
C1039,U2039,171845,171229,Motor,Nagpur,2,133,"Minor accident, bumper scratch",0
C1040,U2040,124346,201935,Health,Hyderabad,2,117,Fracture treatment expenses,0
C1041,U2041,72435,109308,Property,Mumbai,1,368,Phone stolen during travel,0
